epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,187.442,1.42368,3.16581,1.54335,1.54694,0,0.38988,0.45947,0.38728,0.18707,0.37431,0.35124,0.28323,0.10653,1.72912,4.22788,1.95105,1.6428,0,0.001538,0.001538,0.001538
30,193.341,1.47965,3.20794,1.59596,1.58215,0,0.35544,0.52479,0.42764,0.17115,0.41332,0.33471,0.28908,0.1174,1.90008,3.72782,1.97008,1.73565,0,0.0015215,0.0015215,0.0015215
31,199.857,1.47594,3.19067,1.58254,1.58447,0,0.56519,0.39256,0.44805,0.16778,0.5842,0.34711,0.37528,0.13269,1.82683,3.96898,2.02152,1.74778,0,0.001505,0.001505,0.001505
32,205.322,1.39141,3.09352,1.48976,1.50253,0,0.43371,0.50638,0.39659,0.17666,0.43467,0.3595,0.27857,0.12004,1.6652,4.9236,1.94,1.58795,0,0.0014885,0.0014885,0.0014885
33,211.412,1.37248,3.03963,1.46782,1.49377,0,0.4246,0.58264,0.45476,0.21534,0.45535,0.36364,0.34531,0.16285,1.61413,3.85578,1.81644,1.58533,0,0.001472,0.001472,0.001472
34,216.578,1.38814,3.08604,1.48799,1.51408,0,0.51037,0.43388,0.4088,0.16909,0.40394,0.33058,0.27817,0.10857,1.7743,3.91266,1.98383,1.75353,0,0.0014555,0.0014555,0.0014555
35,222.549,1.43039,3.08496,1.52646,1.53988,0,0.4178,0.47521,0.40635,0.19391,0.3919,0.36364,0.29513,0.13277,1.60601,4.43266,1.81925,1.56917,0,0.001439,0.001439,0.001439
36,228.217,1.38048,3.07025,1.45906,1.52042,0,0.36695,0.45868,0.36987,0.14234,0.30331,0.23554,0.14533,0.04898,1.75973,7.31515,2.01462,1.66755,0,0.0014225,0.0014225,0.0014225
37,234.291,1.37085,2.982,1.4535,1.505,0,0.40452,0.41322,0.3405,0.15179,0.41831,0.31797,0.24679,0.10206,1.70155,4.66509,2.14991,1.6928,0,0.001406,0.001406,0.001406
38,240.171,1.34519,3.01134,1.43751,1.4965,0,0.36907,0.3843,0.31097,0.12565,0.3258,0.30579,0.21528,0.08632,1.79418,4.20625,2.32673,1.72406,0,0.0013895,0.0013895,0.0013895
39,245.752,1.36893,3.07607,1.44045,1.5014,0,0.45287,0.55372,0.43467,0.22959,0.40893,0.5,0.37264,0.17656,1.58158,3.73842,1.75949,1.54978,0,0.001373,0.001373,0.001373
40,251.673,1.31378,3.09105,1.39782,1.47093,0,0.34396,0.44628,0.35883,0.17572,0.3386,0.38017,0.3131,0.13922,1.68206,3.66311,2.08635,1.68073,0,0.0013565,0.0013565,0.0013565
41,257.567,1.28607,2.84188,1.37346,1.43241,0,0.41511,0.2562,0.25711,0.10892,0.44053,0.23753,0.23256,0.09533,1.87519,3.69962,2.54101,1.79868,0,0.00134,0.00134,0.00134
42,263.382,1.3613,2.96557,1.40379,1.47345,0,0.32205,0.43185,0.32038,0.14254,0.29344,0.32779,0.233,0.09496,1.84091,3.92838,2.18946,1.79822,0,0.0013235,0.0013235,0.0013235
43,269.41,1.34786,3.01857,1.43161,1.49535,0,0.46367,0.51653,0.4694,0.21669,0.41988,0.47107,0.37481,0.14084,1.64847,3.65833,1.77561,1.62122,0,0.001307,0.001307,0.001307
44,275.315,1.32273,2.8442,1.38915,1.45367,0,0.49988,0.59917,0.51449,0.24287,0.48724,0.45041,0.39187,0.16801,1.64981,4.03686,1.66301,1.57796,0,0.0012905,0.0012905,0.0012905
45,280.842,1.31199,2.83181,1.31891,1.43503,0,0.48688,0.6391,0.5146,0.2453,0.41613,0.44215,0.31418,0.1338,1.66462,4.61428,1.57069,1.59676,0,0.001274,0.001274,0.001274
46,286.695,1.31959,2.8402,1.29928,1.45403,0,0.45189,0.54545,0.49587,0.19501,0.37876,0.45868,0.33783,0.12171,1.85202,4.0513,1.89365,1.74811,0,0.0012575,0.0012575,0.0012575
47,292.391,1.25442,2.80189,1.28361,1.429,0,0.4668,0.47107,0.43831,0.19594,0.40948,0.41322,0.35733,0.13624,1.80267,3.74527,1.93952,1.70843,0,0.001241,0.001241,0.001241
48,298.283,1.28078,2.74149,1.26634,1.41803,0,0.50103,0.30992,0.34952,0.16856,0.52089,0.29652,0.32325,0.12671,1.78004,3.80505,2.3011,1.76723,0,0.0012245,0.0012245,0.0012245
49,304.114,1.2783,2.85989,1.28366,1.43901,0,0.43864,0.43802,0.41317,0.17048,0.42733,0.30165,0.30366,0.10173,1.79594,4.14532,2.08389,1.77001,0,0.001208,0.001208,0.001208
50,309.338,1.23067,2.68754,1.23187,1.39224,0,0.44206,0.55372,0.45037,0.20295,0.42919,0.5,0.4009,0.151,1.7073,4.01218,1.88466,1.66366,0,0.0011915,0.0011915,0.0011915
