epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,542.111,1.51325,2.68949,1.41266,0.01925,1.71599,0.24829,0.18483,0.1344,0.05205,0.24829,0.18483,0.12893,0.04197,2.16153,3.62562,3.08206,0.02957,0,0.00178616,0.00178616,0.00178616
29,560.296,1.54425,2.60379,1.41346,0.0203,1.70682,0.43739,0.4349,0.34216,0.1388,0.36593,0.36565,0.26006,0.09339,2.05284,4.08885,2.26576,0.02572,0,0.00177824,0.00177824,0.00177824
30,578.708,1.50197,2.57125,1.36052,0.01968,1.73962,0.31237,0.22992,0.16776,0.06547,0.26831,0.20222,0.12726,0.04541,2.19852,3.74688,3.03937,0.02984,0,0.00177032,0.00177032,0.00177032
31,597.796,1.41554,2.54545,1.31045,0.0174,1.63403,0.32935,0.30471,0.22717,0.08899,0.29623,0.27701,0.192,0.05899,1.92024,3.6427,2.79377,0.02448,0,0.0017624,0.0017624,0.0017624
32,616.357,1.4906,2.59202,1.34186,0.01863,1.68794,0.27378,0.19391,0.15633,0.06361,0.23401,0.17729,0.11468,0.05049,2.08578,3.89568,3.06549,0.02955,0,0.00175448,0.00175448,0.00175448
33,635.255,1.45818,2.50603,1.33753,0.0184,1.65653,0.36266,0.3518,0.2693,0.11894,0.37695,0.30748,0.22391,0.08932,2.12205,3.86874,2.42598,0.02801,0,0.00174656,0.00174656,0.00174656
34,654.265,1.43375,2.47734,1.27322,0.01878,1.61358,0.48861,0.35201,0.35446,0.17435,0.48092,0.34647,0.33116,0.12593,2.04543,3.47261,2.29643,0.02564,0,0.00173864,0.00173864,0.00173864
35,673.413,1.47523,2.48119,1.30535,0.01848,1.6892,0.3783,0.4214,0.29674,0.14207,0.36736,0.41274,0.27376,0.10576,1.78165,3.78307,2.39898,0.02249,0,0.00173072,0.00173072,0.00173072
36,692.566,1.40417,2.4126,1.23029,0.01734,1.5874,0.46024,0.45983,0.36963,0.16412,0.39133,0.40997,0.30598,0.11461,2.01831,3.78554,2.02925,0.02612,0,0.0017228,0.0017228,0.0017228
37,710.957,1.42967,2.43526,1.21979,0.01808,1.45763,0.34715,0.38445,0.27471,0.10954,0.29246,0.30471,0.23647,0.08541,2.02565,3.62118,2.27317,0.02589,0,0.00171488,0.00171488,0.00171488
